OIL,GAS,WATER,ARTIFICIAL_LIFT,DOWN_TIME_HOURS,ESP Data - Drive Current,ESP Data - Drive Voltage,ESP Data - Intake Pressure,ESP Data - Motor Temperature Shutdown Setpoint,ESP Data - Motor Winding Temperature,ESP Data - Output Frequency,ESP Data - Vibration X,Startup_Count,Oil_Intake,Water_Intake,Gas_Intake,Liquid_Intake,Gas_Saturation_at_Intake,Gas_Separator_Efficiency,Gas_through_Annulus_Intake,Gas_through_ESP_Intake,Gas_through_Annulus,Gas_through_ESP,Pb_ESP,Discharge_Pressure,ESP_Fluid,Gas_Saturation_at_Discharge,Pump_Delta_Pressure,Pump_Average_Pressure,Gas_Saturation_in_Pump,Pump_Power,Drive_Power,Power_Ratio,Power_Difference,ESP_Temperature,Lower_Limit,AL_Key,Well_ID
615.1546008,650.4477875,526.4886548,ESP,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1224.19364,1232.455787,809.4146853,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1007.769762,1047.068544,667.9338985,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1514.641876,1370.14316,1122.137652,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1089.741764,1387.13813,1156.169599,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1241.222,1617.574593,1237.019301,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1407.687407,1982.704194,1154.806037,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1205.098398,1819.788784,1088.748712,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1307.663836,1772.131996,931.0667499,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1194.901846,1092.95895,1276.267462,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1349.772675,1791.918713,809.9639872,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1324.995927,1942.350967,394.9093043,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1447.734748,1896.616736,381.0195053,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1263.13053,1832.460426,518.5248541,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1220.489622,2091.807402,637.5133429,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1358.547504,1786.067032,453.0319096,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1178.142752,1836.67928,388.9122199,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1200.740602,1777.326669,347.833053,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1191.784827,1728.810385,600.5280909,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1223.291062,1801.266539,1076.875174,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1279.777609,1718.472738,1201.944758,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1215.831326,1596.232598,1653.70358,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
405.728398,926.6927988,433.8989698,ESP,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
0,0,0,ESP,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
0,0,0,ESP,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
346.5244219,465.7961782,295.6795286,ESP,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1015.090556,1790.032776,259.3771342,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1431.023045,1568.590863,1045.544501,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1421.559973,1639.952722,998.307767,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
663.898145,974.7922596,395.1494893,ESP,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1401.293964,1316.629305,863.3895225,ESP,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1324.063191,1610.258107,974.8084156,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
621.9271703,923.4842293,424.5059071,ESP,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
734.544834,851.6980082,737.1664043,ESP,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1449.692848,1534.716168,990.9374277,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1298.852387,1767.229207,628.7783654,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1143.819999,1705.722472,714.8550529,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1151.46822,1660.777727,596.1401379,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1067.942017,1245.212516,1153.69774,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1077.420168,1743.980812,614.2455599,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1121.134907,1783.279594,555.7793717,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1087.686728,1772.32479,1053.829266,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
972.5358135,1565.463074,551.9848803,ESP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
1028.470905,1690.489575,633.5142095,ESP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP_2,345
